,primary_city,latitude,longitude
443,Anza,33.53,-116.68
444,Apache,34.89,-98.35
445,Apache Junction,33.45,-111.63
446,Apalachicola,29.72,-84.99
447,Apalachin,42.07,-76.16
448,Apex,35.77,-78.94
449,Apison,35.01,-85.0
450,Aplington,42.58,-92.88
451,Apo,-44.25,33.53
452,Apollo,40.58,-79.56
453,Apollo Beach,27.78,-82.39
454,Apopka,28.68,-81.51
455,Appalachia,36.9,-82.78
456,Apple Creek,40.75,-81.84
457,Applegate,43.35,-82.63
458,Apple Grove,38.7,-82.17
459,Apple River,42.5,-90.09
460,Apple Springs,31.26,-94.97
461,Appleton,45.85,-121.28
462,Appleton City,38.19,-94.03
463,Apple Valley,34.57,-117.15
464,Appling,33.6,-82.31
465,Appomattox,37.35,-78.82
466,Aptos,37.0,-121.87
467,Apulia Station,42.81,-76.07
468,Aquasco,38.58,-76.7
469,Aquashicola,40.84,-75.57
470,Aquebogue,40.93,-72.61
471,Aquilla,31.85,-97.22
472,Arab,34.32,-86.5
473,Arabi,31.83,-83.73
474,Aragon,34.04,-85.05
475,Aransas Pass,27.9,-97.14
476,Arapaho,35.57,-98.95
477,Arapahoe,42.97,-108.47
478,Ararat,36.6,-80.51
479,Arbela,40.46,-92.01
480,Arboles,37.02,-107.4
481,Arbon,42.53,-112.55
482,Arbovale,38.45,-79.75
483,Arbuckle,39.02,-122.04
484,Arbyrd,36.05,-90.24
485,Arcade,42.53,-78.43
486,Arcadia,44.51,-86.23
487,Arcanum,39.99,-84.55
488,Arcata,40.86,-124.08
489,Archbald,41.5,-75.53
490,Archbold,41.51,-84.3
491,Arch Cape,45.84,-123.86
492,Archer,43.11,-95.74
493,Archer City,33.59,-98.62
494,Archibald,32.36,-91.73
495,Archie,38.48,-94.34
496,Arco,44.38,-96.18
497,Arcola,41.1,-85.3
498,Arctic Village,68.09,-145.57
499,Ardara,40.36,-79.73
500,Arden,41.22,-74.18
501,Ardenvoir,47.72,-120.36
502,Ardmore,40.0,-75.29
503,Ardsley,41.01,-73.84
504,Ardsley On Hudson,41.02,-73.87
505,Arecibo,18.45,-66.73
506,Aredale,42.83,-93.0
507,Arena,43.16,-89.91
508,Arenas Valley,33.01,-108.28
509,Arendtsville,39.92,-77.3
510,Arenzville,39.87,-90.37
511,Argenta,39.98,-88.81
512,Argillite,38.42,-82.81
513,Argonia,37.26,-97.76
514,Argonne,45.66,-88.88
515,Argos,41.23,-86.24
516,Argusville,47.05,-96.94
517,Argyle,48.33,-96.81
518,Ariel,46.01,-122.47
519,Arimo,42.54,-112.28
520,Arion,41.94,-95.46
521,Aripeka,28.43,-82.66
522,Arispe,40.94,-94.21
523,Aristes,40.81,-76.34
524,Ariton,31.59,-85.71
525,Arivaca,31.59,-111.3
526,Arizona City,32.74,-111.68
527,Arjay,36.8,-83.64
