state,zipcode,total_pop,total_income,country,avg_income
AL,35183,290,13979,USA,48203.44828
AL,35184,2090,99151,USA,47440.66986
AL,35186,2060,151824,USA,73700.97087
AL,35188,1140,64947,USA,56971.05263
AL,35203,1440,190356,USA,132191.6667
AL,35204,3370,92991,USA,27593.76855
AL,35205,7590,493898,USA,65072.20026
AL,35206,6400,206374,USA,32245.9375
AL,35207,3110,83836,USA,26956.91318
AL,35208,5500,160164,USA,29120.72727
AL,35209,11970,1401725,USA,117103.1746
AL,35210,6670,443870,USA,66547.22639
AL,35211,9960,321884,USA,32317.67068
AL,35212,4450,173159,USA,38912.13483
AL,35213,7160,1779399,USA,248519.4134
AL,35214,8140,312923,USA,38442.62899
AL,35215,19620,680951,USA,34706.98267
AL,35216,16190,1536708,USA,94917.10933
AL,35217,4900,175230,USA,35761.22449
AL,35218,2430,63675,USA,26203.7037
AL,35221,1700,48994,USA,28820
AL,35222,4050,415884,USA,102687.4074
AL,35223,5560,2070274,USA,372351.4388
AL,35224,2130,66815,USA,31368.5446
AL,35226,16940,1787410,USA,105514.1677
AL,35228,4130,125234,USA,30323.00242
AL,35233,940,78684,USA,83706.38298
AL,35234,1760,47103,USA,26763.06818
AL,35235,9260,402570,USA,43474.08207
AL,35242,25910,3749843,USA,144725.7044
AL,35243,10280,1515130,USA,147386.1868
AL,35244,16680,1718822,USA,103046.8825
AL,35401,9970,356339,USA,35741.12337
AL,35404,8040,338594,USA,42113.68159
AL,35405,18530,928260,USA,50094.98111
AL,35406,6970,1011606,USA,145137.1593
AL,35441,440,20224,USA,45963.63636
AL,35442,1800,66328,USA,36848.88889
AL,35443,690,21904,USA,31744.92754
AL,35444,1550,82241,USA,53058.70968
AL,35446,840,41646,USA,49578.57143
AL,35447,1230,51644,USA,41986.99187
AL,35452,1610,89717,USA,55724.84472
AL,35453,4740,239852,USA,50601.68776
AL,35456,1820,85257,USA,46844.50549
AL,35458,230,11555,USA,50239.13043
AL,35459,320,12316,USA,38487.5
AL,35460,210,6317,USA,30080.95238
AL,35461,670,32427,USA,48398.50746
AL,35462,1820,63059,USA,34647.8022
AL,35463,780,41720,USA,53487.17949
AL,35464,180,4685,USA,26027.77778
AL,35466,2230,119702,USA,53678.02691
AL,35469,120,5037,USA,41975
AL,35470,1860,81738,USA,43945.16129
AL,35473,7250,447488,USA,61722.48276
AL,35474,2880,148299,USA,51492.70833
AL,35475,7060,583872,USA,82701.41643
AL,35476,3410,150479,USA,44128.739
AL,35480,680,39584,USA,58211.76471
AL,35481,1300,53448,USA,41113.84615
AL,35490,1820,107652,USA,59149.45055
AL,35501,3620,163353,USA,45125.13812
AL,35503,3330,171923,USA,51628.52853
AL,35504,5260,342415,USA,65097.90875
AL,35540,900,43573,USA,48414.44444
AL,35541,1320,85811,USA,65008.33333
AL,35542,430,19880,USA,46232.55814
AL,35543,350,15209,USA,43454.28571
AL,35544,220,9821,USA,44640.90909
AL,35546,1500,73232,USA,48821.33333
AL,35548,560,21280,USA,38000
AL,35549,1360,56305,USA,41400.73529
AL,35550,1850,88217,USA,47684.86486
AL,35552,370,27569,USA,74510.81081
AL,35553,1680,83468,USA,49683.33333
AL,35554,420,20929,USA,49830.95238
AL,35555,3640,166249,USA,45672.8022
AL,35563,1540,72857,USA,47309.74026
AL,35564,790,33424,USA,42308.86076
AL,35565,4670,213916,USA,45806.42398
AL,35570,3930,174684,USA,44448.85496
AL,35571,320,14482,USA,45256.25
AL,35572,400,23590,USA,58975
AL,35574,560,27230,USA,48625
AL,35575,370,16286,USA,44016.21622
AL,35576,1180,58018,USA,49167.79661
AL,35578,1840,82002,USA,44566.30435
AL,35579,1180,53659,USA,45473.72881
AL,35580,1460,69727,USA,47758.21918
AL,35581,1890,78605,USA,41589.94709
AL,35582,1620,88251,USA,54475.92593
AL,35585,600,27400,USA,45666.66667
AL,35586,1560,69321,USA,44436.53846
AL,35587,310,16054,USA,51787.09677
AL,35592,1670,77418,USA,46358.08383
AL,35593,670,30084,USA,44901.49254
AL,35594,2880,150392,USA,52219.44444
AL,35601,13500,659712,USA,48867.55556
AL,35603,14270,977588,USA,68506.51717
AL,35610,740,36822,USA,49759.45946
AL,35611,10330,514537,USA,49809.97096
AL,35613,9780,815009,USA,83334.25358
AL,35614,3050,144951,USA,47524.91803
AL,35616,1400,67057,USA,47897.85714
AL,35618,750,29159,USA,38878.66667
AL,35619,2060,110141,USA,53466.50485
AL,35620,3760,200083,USA,53213.56383
AL,35621,1200,60715,USA,50595.83333
AL,35622,2760,126578,USA,45861.5942
AL,35630,12550,574613,USA,45785.89641
AL,35633,8540,477118,USA,55868.61827
AL,35634,4560,359335,USA,78801.53509
AL,35640,10810,656758,USA,60754.6716
AL,35643,1270,55880,USA,44000
AL,35645,5800,391900,USA,67568.96552
AL,35646,1790,84806,USA,47377.65363
AL,35647,440,23179,USA,52679.54545
AL,35648,1570,80219,USA,51094.90446
AL,35650,5450,274852,USA,50431.55963
AL,35651,410,19763,USA,48202.43902
AL,35652,3470,204063,USA,58807.78098
AL,35653,4410,200184,USA,45393.19728
AL,35654,3000,130806,USA,43602
AL,35660,3740,152278,USA,40716.04278
AL,35661,7940,504595,USA,63551.00756
AL,35670,3190,175126,USA,54898.4326
AL,35671,920,50040,USA,54391.30435
AL,35672,2400,122267,USA,50944.58333
AL,35673,3410,182574,USA,53540.76246
AL,35674,8030,432706,USA,53886.17684
AL,35677,710,30781,USA,43353.52113
AL,35739,2200,116838,USA,53108.18182
AL,35740,1260,58690,USA,46579.36508
AL,35741,1540,169311,USA,109942.2078
AL,35744,940,40313,USA,42886.17021
AL,35746,350,14961,USA,42745.71429
AL,35747,2480,148263,USA,59783.46774
AL,35748,3360,299654,USA,89182.7381
AL,35749,12080,857591,USA,70992.63245
AL,35750,6030,325147,USA,53921.55887
AL,35752,810,39590,USA,48876.54321
AL,35754,2260,127889,USA,56588.0531
AL,35755,290,16978,USA,58544.82759
AL,35756,9130,823429,USA,90189.37568
AL,35757,7770,601809,USA,77452.89575
AL,35758,21560,2066909,USA,95867.76438
AL,35759,4440,316300,USA,71238.73874
AL,35760,2110,112390,USA,53265.40284
AL,35761,5350,357408,USA,66805.23364
AL,35763,9020,1029314,USA,114114.6341
AL,35764,240,9241,USA,38504.16667
AL,35765,1450,62747,USA,43273.7931
AL,35768,4580,223423,USA,48782.31441
AL,35769,4170,316625,USA,75929.25659
AL,35771,1380,63098,USA,45723.18841
AL,35772,1800,80085,USA,44491.66667
AL,35773,5690,319237,USA,56104.92091
AL,35775,340,13624,USA,40070.58824
AL,35776,1440,64404,USA,44725
AL,35801,10480,1320028,USA,125956.8702
AL,35802,11470,1099678,USA,95874.28073
AL,35803,13730,1108672,USA,80748.14275
AL,35805,7820,218090,USA,27888.7468
AL,35806,12190,919055,USA,75394.17555
AL,35808,430,41463,USA,96425.5814
AL,35810,13430,472617,USA,35191.13924
AL,35811,12780,824683,USA,64529.18623
AL,35816,5630,174997,USA,31082.94849
AL,35824,4600,389956,USA,84773.04348
AL,35901,7320,460470,USA,62905.7377
AL,35903,7160,294669,USA,41154.88827
AL,35904,5250,213710,USA,40706.66667
AL,35905,2690,139707,USA,51935.68773
AL,35906,4440,244166,USA,54992.34234
AL,35907,4010,271035,USA,67589.77556
AL,35950,8600,360905,USA,41965.69767
AL,35951,5010,212481,USA,42411.37725
AL,35952,2710,120138,USA,44331.36531
AL,35953,3040,161133,USA,53004.27632
AL,35954,4580,183734,USA,40116.59389
AL,35956,3510,160743,USA,45795.7265
AL,35957,6260,271639,USA,43392.8115
AL,35958,1160,56174,USA,48425.86207
AL,35959,1820,87085,USA,47848.9011
AL,35960,3770,194749,USA,51657.55968
AL,35961,2210,83707,USA,37876.47059
AL,35962,2620,111156,USA,42425.9542
AL,35963,620,23690,USA,38209.67742
AL,35966,1310,59017,USA,45051.14504
AL,35967,6300,301529,USA,47861.74603
AL,35968,2230,119074,USA,53396.41256
AL,35971,1780,80617,USA,45290.44944
AL,35972,500,24071,USA,48142
AL,35973,1000,43228,USA,43228
AL,35974,710,28786,USA,40543.66197
AL,35975,350,17040,USA,48685.71429
AL,35976,7080,482190,USA,68105.9322
AL,35978,2020,107655,USA,53294.55446
AL,35979,530,21533,USA,40628.30189
AL,35980,1820,74775,USA,41085.16484
AL,35981,740,33631,USA,45447.2973
AL,35983,1430,67298,USA,47061.53846
AL,35984,780,41365,USA,53032.05128
AL,35986,3250,158378,USA,48731.69231
AL,35987,980,46941,USA,47898.97959
AL,35988,690,28756,USA,41675.36232
AL,35989,1290,66391,USA,51465.89147
AL,36003,760,36905,USA,48559.21053
AL,36005,670,30455,USA,45455.22388
AL,36006,540,27131,USA,50242.59259
AL,36009,1030,51791,USA,50282.52427
AL,36010,2000,77662,USA,38831
AL,36013,190,19788,USA,104147.3684
AL,36016,1230,48378,USA,39331.70732
AL,36017,490,16488,USA,33648.97959
AL,36020,530,23249,USA,43866.03774
AL,36022,5950,383274,USA,64415.79832
AL,36024,2660,162794,USA,61200.75188
AL,36025,1650,80660,USA,48884.84848
AL,36026,450,33700,USA,74888.88889
AL,36027,5860,273630,USA,46694.53925
AL,36028,690,29257,USA,42401.44928
AL,36029,400,23172,USA,57930
AL,36030,200,7627,USA,38135
AL,36032,1020,36537,USA,35820.58824
AL,36033,1490,61036,USA,40963.75839
AL,36034,310,13383,USA,43170.96774
AL,36035,810,36815,USA,45450.61728
AL,36036,770,33656,USA,43709.09091
AL,36037,5350,244066,USA,45619.81308
AL,36039,110,3259,USA,29627.27273
AL,36040,1440,46353,USA,32189.58333
AL,36041,560,24209,USA,43230.35714
AL,36042,550,25344,USA,46080
AL,36043,1590,92320,USA,58062.89308
AL,36046,540,26062,USA,48262.96296
AL,36047,560,22069,USA,39408.92857
AL,36048,500,17566,USA,35132
AL,36049,2230,103802,USA,46547.98206
AL,36051,920,43926,USA,47745.65217
AL,36052,380,33396,USA,87884.21053
AL,36053,750,25749,USA,34332
AL,36054,6600,350285,USA,53073.48485
AL,36064,5240,546380,USA,104270.9924
AL,36066,9100,565843,USA,62180.54945
AL,36067,11060,626626,USA,56656.96203
AL,36069,760,37806,USA,49744.73684
AL,36071,330,11711,USA,35487.87879
AL,36075,790,34841,USA,44102.53165
AL,36078,5510,286821,USA,52054.62795
AL,36079,3710,191115,USA,51513.47709
AL,36080,1040,69625,USA,66947.11538
AL,36081,5690,307994,USA,54128.99824
AL,36083,3220,110726,USA,34386.95652
AL,36088,970,28955,USA,29850.51546
AL,36089,2940,97979,USA,33326.19048
AL,36091,1450,69706,USA,48073.10345
AL,36092,8790,452801,USA,51513.19681
AL,36093,5200,408396,USA,78537.69231
AL,36104,2570,110398,USA,42956.42023
AL,36105,4180,144022,USA,34455.02392
AL,36106,6430,506436,USA,78761.43079
AL,36107,2840,89242,USA,31423.23944
AL,36108,7050,205968,USA,29215.31915
AL,36109,11060,553570,USA,50051.53707
AL,36110,4440,125403,USA,28243.91892
AL,36111,5640,407563,USA,72262.94326
AL,36113,330,22683,USA,68736.36364
AL,36115,260,13322,USA,51238.46154
AL,36116,18030,779788,USA,43249.4731
AL,36117,22550,1696025,USA,75211.75166
AL,36201,6240,199806,USA,32020.19231
AL,36203,8400,446148,USA,53112.85714
AL,36205,340,17521,USA,51532.35294
AL,36206,4510,187068,USA,41478.49224
AL,36207,8300,534270,USA,64369.87952
AL,36250,2100,113320,USA,53961.90476
AL,36251,2030,93749,USA,46181.7734
AL,36255,380,32446,USA,85384.21053
AL,36256,600,27455,USA,45758.33333
AL,36258,660,30751,USA,46592.42424
AL,36260,1630,71644,USA,43953.37423
AL,36262,530,22893,USA,43194.33962
AL,36263,220,10926,USA,49663.63636
AL,36264,3400,176324,USA,51860
AL,36265,7620,385187,USA,50549.47507
AL,36266,2250,101276,USA,45011.55556
AL,36268,2300,104112,USA,45266.08696
AL,36269,470,20672,USA,43982.97872
AL,36271,2460,124607,USA,50653.25203
AL,36272,4700,207952,USA,44245.10638
AL,36273,1050,57421,USA,54686.66667
AL,36274,4250,169482,USA,39878.11765
AL,36276,880,40228,USA,45713.63636
AL,36277,2330,109426,USA,46963.9485
AL,36278,1900,117615,USA,61902.63158
AL,36279,1060,49741,USA,46925.4717
AL,36280,1490,71106,USA,47722.14765
AL,36301,15550,750238,USA,48246.81672
AL,36303,12590,768458,USA,61037.17236
AL,36305,6990,616712,USA,88227.75393
AL,36310,2410,116486,USA,48334.43983
AL,36311,1060,52366,USA,49401.88679
AL,36312,2480,127076,USA,51240.32258
AL,36314,240,10610,USA,44208.33333
AL,36316,750,40203,USA,53604
AL,36317,170,6855,USA,40323.52941
AL,36318,480,24826,USA,51720.83333
AL,36319,880,46216,USA,52518.18182
AL,36320,1360,56416,USA,41482.35294
AL,36321,780,34868,USA,44702.5641
AL,36322,3410,149816,USA,43934.31085
AL,36323,2950,134898,USA,45728.13559
AL,36330,15320,918123,USA,59929.69974
AL,36340,1990,88931,USA,44688.94472
AL,36343,580,22009,USA,37946.55172
AL,36344,2130,99832,USA,46869.48357
AL,36345,3570,212042,USA,59395.51821
AL,36346,580,27891,USA,48087.93103
AL,36350,3090,166938,USA,54025.24272
AL,36351,1490,85397,USA,57313.42282
AL,36352,2150,129083,USA,60038.60465
AL,36353,840,38391,USA,45703.57143
AL,36360,7810,375968,USA,48139.30858
AL,36362,1400,74744,USA,53388.57143
AL,36370,350,15866,USA,45331.42857
AL,36373,210,7424,USA,35352.38095
AL,36374,490,25517,USA,52075.5102
AL,36375,2870,128873,USA,44903.48432
AL,36376,870,37311,USA,42886.2069
AL,36401,2750,111387,USA,40504.36364
AL,36420,4390,239250,USA,54498.86105
AL,36421,3570,221773,USA,62121.28852
AL,36425,330,10548,USA,31963.63636
AL,36426,5590,262530,USA,46964.22182
AL,36432,910,34866,USA,38314.28571
AL,36435,190,5417,USA,28510.52632
AL,36436,180,7621,USA,42338.88889
AL,36441,1470,69614,USA,47356.46259
AL,36442,1140,47597,USA,41751.75439
AL,36444,220,8106,USA,36845.45455
AL,36445,1550,64807,USA,41810.96774
AL,36451,1820,96761,USA,53165.38462
AL,36453,870,43697,USA,50226.43678
AL,36456,650,30108,USA,46320
AL,36460,3350,176230,USA,52605.97015
AL,36467,3690,166439,USA,45105.42005
AL,36471,360,12765,USA,35458.33333
AL,36474,1100,53224,USA,48385.45455
AL,36475,710,31875,USA,44894.3662
AL,36477,1710,75916,USA,44395.32164
AL,36480,680,34066,USA,50097.05882
AL,36481,100,3108,USA,31080
AL,36482,350,12143,USA,34694.28571
AL,36483,170,6716,USA,39505.88235
AL,36502,6060,259288,USA,42786.79868
AL,36505,620,34490,USA,55629.03226
AL,36507,8040,411709,USA,51207.58706
AL,36509,750,28131,USA,37508
AL,36511,370,14551,USA,39327.02703
AL,36518,1010,65631,USA,64981.18812
AL,36521,1990,107922,USA,54232.1608
AL,36522,2720,129102,USA,47463.97059
AL,36523,990,48493,USA,48982.82828
AL,36524,410,17199,USA,41948.78049
AL,36525,810,44403,USA,54818.51852
AL,36526,15800,1209247,USA,76534.62025
AL,36527,7200,739518,USA,102710.8333
AL,36528,830,69665,USA,83933.73494
AL,36529,230,11553,USA,50230.43478
AL,36530,3390,211634,USA,62428.90855
AL,36532,14800,1416766,USA,95727.43243
AL,36535,14000,673450,USA,48103.57143
AL,36538,150,5426,USA,36173.33333
AL,36539,280,14750,USA,52678.57143
AL,36540,370,12765,USA,34500
AL,36541,5790,305289,USA,52726.94301
AL,36542,6970,451137,USA,64725.53802
AL,36544,4400,188446,USA,42828.63636
AL,36545,3520,183351,USA,52088.35227
AL,36548,480,27217,USA,56702.08333
AL,36549,2400,138457,USA,57690.41667
AL,36551,4070,218353,USA,53649.38575
AL,36553,1250,55120,USA,44096
AL,36555,600,52828,USA,88046.66667
AL,36558,1280,70924,USA,55409.375
AL,36560,1240,45058,USA,36337.09677
AL,36561,4160,402629,USA,96785.81731
AL,36562,730,33299,USA,45615.06849
AL,36567,5880,285120,USA,48489.79592
AL,36569,310,17037,USA,54958.06452
AL,36571,7160,438414,USA,61231.00559
AL,36572,2960,187881,USA,63473.31081
AL,36574,560,31770,USA,56732.14286
AL,36575,8660,458579,USA,52953.69515
AL,36576,2130,113199,USA,53145.07042
AL,36578,870,53033,USA,60957.47126
AL,36579,690,39293,USA,56946.37681
AL,36580,2720,127670,USA,46937.5
AL,36582,9900,532044,USA,53741.81818
AL,36583,250,14112,USA,56448
AL,36584,260,13904,USA,53476.92308
AL,36585,370,18461,USA,49894.59459
AL,36587,4070,202220,USA,49685.50369
AL,36602,440,37356,USA,84900
AL,36603,2390,65421,USA,27372.80335
AL,36604,3780,235692,USA,62352.38095
AL,36605,10380,363105,USA,34981.21387
AL,36606,8030,371080,USA,46211.7061
AL,36607,2500,157305,USA,62922
AL,36608,15650,1313695,USA,83942.17252
AL,36609,10280,504539,USA,49079.66926
AL,36610,3810,87169,USA,22879.00262
AL,36611,2450,79025,USA,32255.10204
AL,36612,1540,38415,USA,24944.80519
AL,36613,4680,178405,USA,38120.7265
AL,36617,4970,150741,USA,30330.18109
AL,36618,7560,309460,USA,40933.86243
AL,36619,6330,374050,USA,59091.62717
AL,36693,8600,532237,USA,61888.02326
AL,36695,21810,1495936,USA,68589.45438
AL,36701,8330,353111,USA,42390.27611
AL,36703,4120,136061,USA,33024.51456
AL,36720,300,7890,USA,26300
AL,36722,130,4647,USA,35746.15385
AL,36726,1810,77607,USA,42876.79558
AL,36728,230,9746,USA,42373.91304
AL,36732,3300,172902,USA,52394.54545
AL,36736,480,18925,USA,39427.08333
AL,36738,350,13041,USA,37260
AL,36740,450,16124,USA,35831.11111
AL,36742,920,50390,USA,54771.73913
AL,36744,2530,97070,USA,38367.58893
AL,36748,1220,57642,USA,47247.54098
AL,36749,360,14603,USA,40563.88889
AL,36750,1170,58109,USA,49665.81197
AL,36751,310,8962,USA,28909.67742
AL,36752,710,39500,USA,55633.80282
AL,36756,1950,76184,USA,39068.71795
AL,36758,480,22622,USA,47129.16667
AL,36759,580,20550,USA,35431.03448
AL,36761,380,14099,USA,37102.63158
AL,36765,460,15289,USA,33236.95652
AL,36767,710,21631,USA,30466.19718
AL,36768,300,10323,USA,34410
AL,36769,1060,38638,USA,36450.9434
AL,36773,130,3793,USA,29176.92308
AL,36775,290,13169,USA,45410.34483
AL,36776,600,18444,USA,30740
AL,36782,860,39657,USA,46112.7907
AL,36783,320,15457,USA,48303.125
AL,36784,3060,152414,USA,49808.49673
AL,36785,460,18743,USA,40745.65217
AL,36786,1130,30776,USA,27235.39823
AL,36790,100,6583,USA,65830
AL,36792,480,24028,USA,50058.33333
AL,36793,210,9944,USA,47352.38095
AL,36801,9790,559225,USA,57122.06333
AL,36804,8240,417346,USA,50648.78641
AL,36830,16600,1485585,USA,89493.07229
AL,36832,8490,429698,USA,50612.24971
AL,36850,1040,36607,USA,35199.03846
AL,36852,990,38624,USA,39014.14141
AL,36853,3580,261990,USA,73181.56425
AL,36854,6650,289345,USA,43510.52632
AL,36855,490,23233,USA,47414.28571
AL,36856,2960,139343,USA,47075.33784
AL,36858,210,8098,USA,38561.90476
AL,36860,580,18147,USA,31287.93103
AL,36861,1290,87661,USA,67954.26357
AL,36862,2290,91650,USA,40021.83406
AL,36863,4620,186669,USA,40404.54545
AL,36866,1590,68008,USA,42772.32704
AL,36867,8660,409178,USA,47249.19169
AL,36869,7970,283141,USA,35525.84693
AL,36870,7560,358477,USA,47417.59259
AL,36871,430,20130,USA,46813.95349
AL,36874,3660,219136,USA,59873.22404
AL,36875,1880,90350,USA,48058.51064
AL,36877,5060,280151,USA,55365.81028
AL,36879,1060,87563,USA,82606.60377
AL,36904,1450,76467,USA,52735.86207
AL,36907,630,23291,USA,36969.84127
AL,36908,870,50057,USA,57536.78161
AL,36912,660,24492,USA,37109.09091
AL,36915,220,10285,USA,46750
AL,36916,200,9844,USA,49220
AL,36919,740,33139,USA,44782.43243
AL,36921,380,21048,USA,55389.47368
AL,36922,220,7946,USA,36118.18182
AL,36925,1130,33646,USA,29775.22124
AL,99999,28330,2693650,USA,95081.18602
AR,0,1217440,76547600,USA,62875.87068
AR,71601,5060,158344,USA,31293.28063
AR,71602,6560,341166,USA,52007.0122
AR,71603,12120,566657,USA,46753.87789
AR,71631,220,7959,USA,36177.27273
AR,71635,4480,213844,USA,47733.03571
AR,71638,1020,37228,USA,36498.03922
AR,71639,2350,102895,USA,43785.10638
AR,71640,940,31313,USA,33311.70213
AR,71642,210,11664,USA,55542.85714
AR,71643,410,14630,USA,35682.92683
AR,71644,290,12543,USA,43251.72414
AR,71646,2390,117723,USA,49256.48536
AR,71647,580,25113,USA,43298.27586
AR,71652,380,15931,USA,41923.68421
AR,71653,1830,106124,USA,57991.25683
AR,71654,1680,80531,USA,47935.11905
AR,71655,5210,274750,USA,52735.12476
AR,71658,200,7195,USA,35975
AR,71660,340,16104,USA,47364.70588
AR,71663,250,19232,USA,76928
AR,71665,2160,119998,USA,55554.62963
AR,71667,2790,136842,USA,49047.31183
AR,71670,490,22069,USA,45038.77551
AR,71671,3170,141474,USA,44629.02208
AR,71674,240,10282,USA,42841.66667
AR,71675,690,33466,USA,48501.44928
AR,71676,190,7269,USA,38257.89474
AR,71701,7170,342664,USA,47791.35286
AR,71720,870,38712,USA,44496.55172
AR,71725,180,6560,USA,36444.44444
AR,71726,410,16041,USA,39124.39024
AR,71730,12740,808776,USA,63483.20251
AR,71740,600,30642,USA,51070
AR,71742,1890,80018,USA,42337.56614
AR,71743,1470,61938,USA,42134.69388
AR,71744,1170,60393,USA,51617.94872
AR,71747,310,12275,USA,39596.77419
AR,71749,1020,53595,USA,52544.11765
AR,71751,320,17592,USA,54975
AR,71752,300,11993,USA,39976.66667
AR,71753,5560,295947,USA,53227.8777
AR,71758,160,9476,USA,59225
AR,71762,1020,65164,USA,63886.27451
AR,71763,550,28924,USA,52589.09091
AR,71764,640,28316,USA,44243.75
AR,71765,820,36532,USA,44551.21951
AR,71766,250,12259,USA,49036
