zip_code,lat,lng,temp,pressure,humidity,wind_speed,clouds
00694,18.48,-66.39,28.92,1012,76,1.79,77
00676,18.39,-67.11,28.16,1015,72,4.63,75
00677,18.34,-67.25,28.1,1012,75,1.34,100
00693,18.44,-66.39,28.69,1012,76,1.79,81
00678,18.47,-66.93,27.98,1014,75,3.16,85
00682,18.22,-67.16,27.96,1013,74,2.24,100
00690,18.49,-67.09,28.32,1015,69,4.63,75
00688,18.38,-66.62,25.9,1014,76,2.84,95
00698,18.03,-66.86,27.42,1015,74,4.02,100
00692,18.41,-66.32,28.86,1013,76,4.74,81
00681,18.2,-67.14,28.02,1013,73,2.24,100
00703,18.25,-66.1,27.88,1012,66,2.24,53
00687,18.32,-66.4,26.65,1014,76,2.08,93
00683,18.08,-67.04,27.43,1014,75,3.92,100
00719,18.3,-66.24,28.3,1014,53,2.62,91
00715,18.01,-66.56,27.3,1014,77,6.26,97
00731,18.11,-66.63,23.46,957,77,0.89,99
00734,17.98,-66.6,27.37,1014,77,6.26,96
00716,17.98,-66.6,27.37,1014,77,6.26,96
00714,17.97,-66.06,28.53,1015,75,3.58,33
00707,18.0,-65.9,28.76,1014,74,3.98,21
00704,17.96,-66.22,28.49,1015,75,3.58,62
00727,18.22,-66.07,28.42,1013,67,2.24,42
00717,18.0,-66.61,27.32,1014,77,6.26,98
00718,18.21,-65.73,28.76,1015,67,5.14,20
00730,18.03,-66.62,26.95,1014,78,6.26,98
00705,18.14,-66.26,24.78,1014,71,3.97,86
00723,18.0,-66.01,28.59,1014,75,4.24,19
00741,18.16,-65.75,28.85,1014,66,5.14,20
00729,18.37,-65.9,29.25,1014,60,4.12,40
00721,18.37,-65.77,29.07,1015,63,5.14,20
00726,18.23,-66.03,28.84,1012,66,2.24,31
00737,18.11,-66.16,25.95,990,70,0.45,59
00725,18.23,-66.03,28.84,1012,66,2.24,31
00751,17.97,-66.29,28.25,1014,75,6.77,71
00720,18.22,-66.39,24.42,1014,63,1.76,98
00742,18.27,-65.65,28.42,1015,64,5.14,20
00728,17.99,-66.66,27.27,1014,77,6.26,97
00735,18.25,-65.68,27.84,1015,67,5.14,20
00732,17.98,-66.6,27.37,1014,77,6.26,96
00736,18.11,-66.16,25.95,990,70,0.45,59
00740,18.33,-65.63,28.49,1015,69,5.14,20
00733,17.98,-66.6,27.37,1014,77,6.26,96
00738,18.33,-65.65,28.57,1015,69,5.14,20
00766,18.13,-66.48,25.73,1014,83,3.2,97
00772,18.43,-65.88,29.46,1014,60,4.12,40
00757,17.97,-66.4,27.56,1014,63,6.36,83
00782,18.22,-66.22,27.18,1014,68,2.72,87
00739,18.17,-66.15,26.23,990,69,0.45,62
00769,18.08,-66.36,27.25,1014,60,4.75,87
00744,18.22,-65.79,28.9,1014,65,5.14,20
00778,18.25,-65.97,28.96,1013,65,2.24,23
00754,18.19,-65.96,28.7,1013,66,2.24,22
00767,18.04,-65.87,28.72,1014,74,4.0,22
00765,18.13,-65.44,27.4,1014,70,4.05,33
00780,18.09,-66.57,25.79,1014,79,3.56,98
00771,18.18,-65.86,28.21,1014,65,2.68,23
00777,18.22,-65.91,28.93,1015,64,2.24,23
00745,18.38,-65.83,29.32,1014,59,4.12,40
00775,18.33,-65.3,27.75,1014,70,4.52,12
00773,18.37,-65.71,28.9,1015,69,5.14,20
00783,18.34,-66.31,28.25,1014,59,3.03,89
00784,17.97,-66.11,28.38,1015,73,3.58,42
00840,17.71,-64.88,27.87,1015,65,5.14,40
00908,18.4,-66.06,29.16,1013,63,7.72,40
00794,18.18,-66.3,24.84,1014,67,2.95,93
00791,18.15,-65.81,28.82,1014,65,2.68,24
00785,17.97,-66.11,28.38,1015,73,3.58,42
00831,18.33,-64.79,27.3,1014,73,6.17,0
00802,18.35,-64.93,26.74,1015,71,6.17,0
00803,18.35,-64.93,26.74,1015,71,6.17,0
00792,18.15,-65.81,28.82,1014,65,2.68,24
00786,18.16,-66.23,26.91,968,71,3.71,83
00795,18.05,-66.5,26.81,1014,77,4.76,97
00801,18.35,-64.93,26.74,1015,72,6.17,0
00901,18.47,-66.1,29.11,1013,64,7.72,40
00824,17.74,-64.7,28.29,1016,78,5.14,40
00821,17.74,-64.7,28.29,1016,78,5.14,40
00820,17.74,-64.7,28.29,1016,78,5.14,40
00851,17.73,-64.8,27.84,1015,65,5.14,40
00830,18.33,-64.79,27.3,1014,73,6.17,0
00822,17.74,-64.7,28.29,1016,78,5.14,40
00841,17.71,-64.88,27.87,1015,65,5.14,40
00805,18.34,-64.93,27.71,1015,72,6.17,0
00823,17.74,-64.7,28.29,1016,78,5.14,40
00902,18.4,-66.06,29.16,1013,63,7.72,40
00850,17.76,-64.82,27.52,1016,78,5.14,40
00804,18.35,-64.93,26.74,1015,72,6.17,0
00913,18.45,-66.04,29.28,1014,63,7.72,40
00911,18.45,-66.06,29.21,1013,63,7.72,40
00910,18.4,-66.06,29.16,1013,63,7.72,40
00914,18.4,-66.06,29.16,1013,63,7.72,40
00907,18.45,-66.08,29.11,1013,64,7.72,40
00917,18.42,-66.05,29.26,1013,63,7.72,40
00909,18.44,-66.07,29.14,1013,64,7.72,40
00918,18.42,-66.07,29.21,1013,63,7.72,40
00912,18.45,-66.06,29.21,1013,63,7.72,40
00906,18.46,-66.09,29.12,1013,64,7.72,40
00915,18.44,-66.05,29.25,1014,63,7.72,40
00919,18.4,-66.06,29.16,1013,63,7.72,40
00926,18.35,-66.05,28.65,1013,64,7.72,40
00916,18.4,-66.06,29.16,1013,63,7.72,40
00920,18.41,-66.09,29.08,1013,64,7.72,40
00924,18.4,-66.01,29.24,1013,62,7.72,40
00923,18.41,-66.04,29.23,1013,63,7.72,40
00921,18.39,-66.09,29.06,1013,63,7.72,40
00928,18.4,-66.06,29.16,1013,63,7.72,40
00922,18.4,-66.06,29.16,1013,63,7.72,40
00933,18.4,-66.06,29.16,1013,63,7.72,40
00925,18.4,-66.05,29.14,1013,63,7.72,40
00927,18.4,-66.06,29.16,1013,63,7.72,40
00929,18.4,-66.06,29.16,1013,63,7.72,40
00930,18.4,-66.06,29.16,1013,63,7.72,40
00935,18.4,-66.06,29.16,1013,63,7.72,40
00934,18.41,-66.12,29.01,1013,64,7.72,40
00931,18.4,-66.06,29.16,1013,63,7.72,40
00951,18.43,-66.25,29.41,1013,65,7.72,40
00937,18.4,-66.06,29.16,1013,63,7.72,40
00970,18.38,-66.11,28.9,1013,63,7.72,40
00936,18.4,-66.07,29.2,1013,63,7.72,40
00965,18.43,-66.11,29.15,1013,64,7.72,40
00953,18.39,-66.25,29.36,1013,59,7.72,40
00954,18.39,-66.25,29.36,1013,59,7.72,40
00939,18.4,-66.06,29.16,1013,63,7.72,40
00955,18.4,-66.06,29.16,1013,63,7.72,40
00950,18.46,-66.23,29.43,1013,65,7.72,40
00940,18.4,-66.06,29.16,1013,63,7.72,40
00958,18.28,-66.13,27.37,1013,67,7.72,40
00960,18.42,-66.15,29.1,1013,64,7.72,40
00949,18.44,-66.25,29.4,1013,65,7.72,40
00961,18.41,-66.17,28.94,1013,64,7.72,40
00959,18.39,-66.15,29.08,1013,64,7.72,40
00963,18.43,-66.11,29.15,1013,64,7.72,40
00956,18.32,-66.17,28.45,1013,65,7.72,40
00984,18.4,-65.98,29.32,1013,63,7.72,40
00976,18.36,-66.01,29.25,1013,64,7.72,40
01001,42.0702,-72.6227,8.08,1004,51,7.2,100
01002,42.3671,-72.4646,7.3,1003,54,2.24,100
00952,18.42,-66.19,28.88,1013,64,7.72,40
00969,18.38,-66.11,28.9,1013,63,7.72,40
00971,18.32,-66.12,27.98,1013,65,7.72,40
00968,18.41,-66.1,29.05,1013,64,7.72,40
00975,18.4,-66.06,29.16,1013,63,7.72,40
00962,18.44,-66.15,29.05,1013,64,7.72,40
00987,18.34,-65.94,28.36,1014,62,4.12,40
01007,42.2751,-72.411,7.53,1005,51,7.2,100
00966,18.4,-66.12,28.93,1013,64,7.72,40
00985,18.41,-65.95,29.36,1014,63,7.72,40
00977,18.36,-66.01,29.25,1013,64,7.72,40
00981,18.4,-65.98,29.32,1013,63,7.72,40
01003,42.3919,-72.5248,7.76,1003,55,2.24,100
00957,18.37,-66.19,28.88,1013,66,7.72,40
01008,42.1829,-72.9361,5.0,1005,58,6.17,100
00979,18.44,-66.03,29.31,1014,63,7.72,40
00978,18.37,-66.01,29.14,1013,64,7.72,40
00983,18.4,-65.98,29.32,1013,63,7.72,40
01005,42.4097,-72.1084,7.4,1004,52,5.49,100
01004,42.3845,-72.5132,7.82,1003,55,2.24,100
00982,18.41,-65.99,29.33,1013,63,7.72,40
00986,18.4,-65.98,29.32,1013,63,7.72,40
00988,18.4,-65.98,29.32,1013,63,7.72,40
01009,42.2061,-72.3405,7.59,1004,47,7.2,100
01014,42.1707,-72.6048,7.9,1004,50,7.2,100
01010,42.1165,-72.1885,6.73,1003,54,1.79,100
01011,42.2794,-72.9888,6.55,1006,62,6.17,100
01012,42.3923,-72.8256,5.62,1005,53,5.85,100
01013,42.1487,-72.6079,8.13,1004,50,7.2,100
01020,42.1764,-72.5761,7.9,1004,50,7.2,100
01022,42.1934,-72.5544,7.89,1004,50,7.2,100
01030,42.0718,-72.6751,7.8,1004,50,7.2,100
01035,42.3606,-72.5715,8.1,1004,54,7.2,100
01029,42.1909,-73.0517,4.77,1006,66,2.24,100
01032,42.4404,-72.7995,5.12,1005,54,0.89,100
01021,42.1707,-72.6048,7.9,1004,50,7.2,100
01028,42.0672,-72.5056,7.71,1004,51,7.2,100
01034,42.1127,-72.952,5.6,1004,59,2.24,100
