us_zip_code,type,primary_city,state,latitude,longitude,county,timezone,area_codes,country,estmiated_population,created_at,updated_at
1913,STANDARD,Amesbury,MA,42.85,-70.92,Essex County,America/New_York,978,US,14037,2020-02-11T17:24:49.746Z,2020-02-11T17:24:49.746Z
1905,STANDARD,Lynn,MA,42.47,-70.96,Essex County,America/New_York,781617339,US,18244,2020-02-11T17:24:49.746Z,2020-02-11T17:24:49.746Z
1923,STANDARD,Danvers,MA,42.57,-70.95,Essex County,America/New_York,978617351,US,23360,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1945,STANDARD,Marblehead,MA,42.5,-70.85,Essex County,America/New_York,781617,US,18127,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1908,STANDARD,Nahant,MA,42.42,-70.92,Essex County,America/New_York,781617,US,3119,2020-02-11T17:24:49.746Z,2020-02-11T17:24:49.746Z
1938,STANDARD,Ipswich,MA,42.67,-70.83,Essex County,America/New_York,978,US,11683,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1929,STANDARD,Essex,MA,42.63,-70.77,Essex County,America/New_York,978,US,2928,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1966,STANDARD,Rockport,MA,42.64,-70.61,Essex County,America/New_York,978508,US,6287,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1907,STANDARD,Swampscott,MA,42.46,-70.89,Essex County,America/New_York,781978,US,12470,2020-02-11T17:24:49.746Z,2020-02-11T17:24:49.746Z
1936,PO BOX,Hamilton,MA,42.61,-70.86,Essex County,America/New_York,978,US,0,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1949,STANDARD,Middleton,MA,42.6,-71.01,Essex County,America/New_York,978,US,6965,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1937,PO BOX,Hathorne,MA,42.57,-70.95,Essex County,America/New_York,978,US,0,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1961,PO BOX,Peabody,MA,42.53,-70.97,Essex County,America/New_York,508,US,0,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
