MSA ID,MSA Name,State, No. of Children in Core Sample ,Relative Mobility Rank-Rank Slope,Absolute Upward Mobility
26980,Iowa City, IA," 3,874 ",0.297,46.5
27060,Ithaca, NY," 2,701 ",0.300,43.3
27100,Jackson, MI," 5,978 ",0.353,39.0
27140,Jackson, MS," 22,264 ",0.421,36.1
27180,Jackson, TN," 4,498 ",0.401,37.0
27260,Jacksonville, FL," 41,242 ",0.362,37.5
27340,Jacksonville, NC," 4,745 ",0.337,39.0
27500,Janesville-Beloit, WI," 5,957 ",0.338,41.2
27620,Jefferson City, MO," 5,417 ",0.324,44.6
27740,Johnson City, TN," 5,594 ",0.382,37.4
27780,Johnstown, PA," 5,647 ",0.361,48.7
27860,Jonesboro, AR," 3,786 ",0.370,40.1
27900,Joplin, MO," 6,171 ",0.330,42.6
27980,Kahului-Wailuku-Lahaina, HI," 4,248 ",0.233,42.2
28020,Kalamazoo-Portage, MI," 11,568 ",0.386,38.0
28100,Kankakee, IL," 4,203 ",0.398,40.9
28140,Kansas City, MO-KS," 69,789 ",0.364,40.2
28420,Kennewick-Richland, WA," 8,349 ",0.286,44.7
28660,Killeen-Temple, TX," 12,453 ",0.335,40.5
28700,Kingsport-Bristol-Bristol, TN-VA," 9,733 ",0.376,38.7
28740,Kingston, NY," 5,738 ",0.310,42.6
28940,Knoxville, TN," 24,505 ",0.372,37.9
29020,Kokomo, IN," 3,434 ",0.328,37.3
29100,La Crosse-Onalaska, WI-MN," 4,611 ",0.305,47.1
29180,Lafayette, LA," 18,996 ",0.379,43.0
29200,Lafayette-West Lafayette, IN," 5,550 ",0.311,44.1
29340,Lake Charles, LA," 8,846 ",0.361,41.5
29420,Lake Havasu City-Kingman, AZ," 4,485 ",0.293,40.4
29460,Lakeland-Winter Haven, FL," 16,503 ",0.341,39.3
29540,Lancaster, PA," 17,242 ",0.348,44.7
29620,Lansing-East Lansing, MI," 17,160 ",0.350,39.5
29700,Laredo, TX," 7,817 ",0.222,44.7
29740,Las Cruces, NM," 6,542 ",0.259,41.3
29820,Las Vegas-Henderson-Paradise, NV," 36,130 ",0.257,39.9
29940,Lawrence, KS," 2,802 ",0.324,40.6
30020,Lawton, OK," 4,873 ",0.331,42.2
30140,Lebanon, PA," 4,493 ",0.327,46.7
30300,Lewiston, ID-WA," 2,278 ",0.315,42.4
30340,Lewiston-Auburn, ME," 3,908 ",0.309,42.9
30460,Lexington-Fayette, KY," 13,104 ",0.389,36.1
30620,Lima, OH," 4,401 ",0.417,39.3
30700,Lincoln, NE," 9,161 ",0.351,43.5
30780,Little Rock-North Little Rock-Conway, AR," 23,345 ",0.394,37.8
30860,Logan, UT-ID," 4,946 ",0.170,51.2
30980,Longview, TX," 8,753 ",0.351,43.9
31020,Longview, WA," 3,939 ",0.325,40.4
31080,Los Angeles-Long Beach-Anaheim, CA," 333,602 ",0.225,43.8
31140,Louisville/Jefferson County, KY-IN," 41,593 ",0.388,37.8
31180,Lubbock, TX," 10,052 ",0.389,40.5
31340,Lynchburg, VA," 7,681 ",0.397,39.2
31420,Macon, GA," 8,653 ",0.391,34.4
31460,Madera, CA," 4,370 ",0.264,41.7
31540,Madison, WI," 17,794 ",0.312,44.5
31700,Manchester-Nashua, NH," 13,561 ",0.318,44.2
31740,Manhattan, KS," 2,433 ",0.307,46.5
31860,Mankato-North Mankato, MN," 3,278 ",0.258,49.6
31900,Mansfield, OH," 5,141 ",0.383,39.4
32580,McAllen-Edinburg-Mission, TX," 21,599 ",0.229,44.1
32780,Medford, OR," 6,630 ",0.257,41.0
32820,Memphis, TN-MS-AR," 49,419 ",0.418,33.7
32900,Merced, CA," 7,885 ",0.260,42.0
33100,Miami-Fort Lauderdale-West Palm Beach, FL," 72,871 ",0.296,39.9
33140,Michigan City-La Porte, IN," 4,318 ",0.349,39.8
33220,Midland, MI," 3,286 ",0.374,41.3
33260,Midland, TX," 5,826 ",0.308,49.5
33340,Milwaukee-Waukesha-West Allis, WI," 56,351 ",0.433,38.5
33460,Minneapolis-St. Paul-Bloomington, MN-WI," 110,101 ",0.333,44.6
33540,Missoula, MT," 3,410 ",0.248,44.0
33660,Mobile, AL," 16,553 ",0.399,37.4
33700,Modesto, CA," 16,739 ",0.262,42.2
33740,Monroe, LA," 7,329 ",0.414,37.4
33780,Monroe, MI," 6,578 ",0.298,42.7
33860,Montgomery, AL," 14,190 ",0.432,35.7
34060,Morgantown, WV," 3,280 ",0.325,45.1
34100,Morristown, TN," 3,453 ",0.345,38.4
34580,Mount Vernon-Anacortes, WA," 3,927 ",0.260,44.2
34620,Muncie, IN," 3,935 ",0.409,36.7
34740,Muskegon, MI," 6,944 ",0.393,36.9
34820,Myrtle Beach-Conway-North Myrtle Beach, SC-NC," 8,010 ",0.331,36.5
34900,Napa, CA," 3,586 ",0.191,47.3
34940,Naples-Immokalee-Marco Island, FL," 4,209 ",0.283,40.4
34980,Nashville-Davidson--Murfreesboro--Franklin, TN," 48,568 ",0.354,38.2
35100,New Bern, NC," 4,121 ",0.346,37.2
35300,New Haven-Milford, CT," 25,358 ",0.363,41.9
35380,New Orleans-Metairie, LA," 55,851 ",0.397,38.2
35620,New York-Newark-Jersey City, NY-NJ-PA," 522,716 ",0.338,43.9
35660,Niles-Benton Harbor, MI," 6,768 ",0.406,38.5
35840,North Port-Sarasota-Bradenton, FL," 14,638 ",0.314,38.9
35980,Norwich-New London, CT," 8,355 ",0.324,42.8
36100,Ocala, FL," 7,743 ",0.344,38.3
36140,Ocean City, NJ," 3,477 ",0.347,42.7
