zip_code,lat,lng,temp,pressure,humidity,wind_speed,clouds
00731,18.11,-66.63,18.81,959,80,1.89,7
00734,17.98,-66.6,23.47,1017,72,2.24,6
00716,17.98,-66.6,23.47,1017,72,2.24,6
00714,17.97,-66.06,22.93,1016,79,3.91,18
00707,18.0,-65.9,23.76,1016,75,4.9,17
00704,17.96,-66.22,22.76,1016,81,3.95,9
00727,18.22,-66.07,22.06,1015,86,0.45,9
00717,18.0,-66.61,23.35,1016,71,2.24,6
00718,18.21,-65.73,24.69,1017,74,3.09,0
00730,18.03,-66.62,22.78,1016,76,2.24,7
00705,18.14,-66.26,18.69,1016,90,1.66,8
00723,18.0,-66.01,22.93,1016,80,3.42,23
00741,18.16,-65.75,24.61,1016,78,3.09,0
00729,18.37,-65.9,23.13,1017,86,3.6,40
00721,18.37,-65.77,24.29,1017,73,3.09,0
00726,18.23,-66.03,22.4,1015,86,0.45,8
00737,18.11,-66.16,19.84,1016,88,2.0,11
00725,18.23,-66.03,22.4,1015,86,0.45,8
00751,17.97,-66.29,23.55,1016,82,3.73,7
00720,18.22,-66.39,18.91,1016,94,1.3,9
00742,18.27,-65.65,25.19,1017,73,3.09,0
00728,17.99,-66.66,23.25,1016,75,2.24,6
00735,18.25,-65.68,24.32,1017,74,3.09,0
00732,17.98,-66.6,23.47,1017,72,2.24,6
00736,18.11,-66.16,19.84,1016,88,2.0,11
00740,18.33,-65.63,25.37,1017,73,3.09,0
00733,17.98,-66.6,23.47,1017,72,2.24,6
00738,18.33,-65.65,25.27,1017,73,3.09,0
00766,18.13,-66.48,21.22,1016,84,1.92,8
00772,18.43,-65.88,23.57,1017,88,3.6,40
00757,17.97,-66.4,23.75,1016,81,3.71,7
00782,18.22,-66.22,21.07,1016,88,1.16,9
00739,18.17,-66.15,19.71,1016,88,1.44,10
00769,18.08,-66.36,22.43,1016,87,2.33,8
00744,18.22,-65.79,24.11,1017,79,3.09,0
00778,18.25,-65.97,22.25,1017,87,0.45,7
00754,18.19,-65.96,22.1,1018,85,1.72,11
00767,18.04,-65.87,23.75,1016,75,4.77,14
00765,18.13,-65.44,25.39,1016,71,7.02,6
00780,18.09,-66.57,21.51,1016,76,2.15,7
00771,18.18,-65.86,22.62,1017,81,1.79,10
00777,18.22,-65.91,22.13,1018,85,1.82,9
00745,18.38,-65.83,23.14,1017,88,3.6,40
00775,18.33,-65.3,24.38,1016,73,7.01,4
00773,18.37,-65.71,25.05,1017,73,3.09,0
00783,18.34,-66.31,22.16,1016,89,2.46,8
00784,17.97,-66.11,22.53,1016,80,3.86,15
00840,17.71,-64.88,23.87,1017,73,3.09,20
00908,18.4,-66.06,23.41,1016,86,3.6,40
00794,18.18,-66.3,18.96,1016,92,1.38,9
00791,18.15,-65.81,24.15,1016,80,1.79,10
00785,17.97,-66.11,22.53,1016,80,3.86,15
00831,18.33,-64.79,23.88,1017,86,4.63,0
00802,18.35,-64.93,23.28,1017,86,4.63,0
00803,18.35,-64.93,23.28,1017,86,4.63,0
00792,18.15,-65.81,24.15,1016,80,1.79,10
00786,18.16,-66.23,20.69,1016,90,1.49,9
00795,18.05,-66.5,22.74,1016,71,2.68,7
00801,18.35,-64.93,23.28,1017,86,4.63,0
00901,18.47,-66.1,23.68,1016,85,3.6,40
