zipcode,state,avg_income,Zips.primary_city,latitude,longitude,Zips.county,Zips.estimated_population
48238,MI,24780,Detroit,42.38,-83.1,Wayne County,19496
48239,MI,44378,Redford,42.39,-83.29,Wayne County,29037
48240,MI,39655,Redford,42.39,-83.29,Wayne County,14577
48301,MI,256820,Bloomfield Hills,42.57,-83.24,Oakland County,12890
48302,MI,297526,Bloomfield Hills,42.57,-83.24,Oakland County,14628
48304,MI,363142,Bloomfield Hills,42.57,-83.24,Oakland County,14725
48306,MI,165471,Rochester,42.68,-83.12,Oakland County,24705
48307,MI,91197,Rochester,42.68,-83.12,Oakland County,34852
48309,MI,109711,Rochester,42.68,-83.12,Oakland County,24598
48310,MI,47599,Sterling Heights,42.58,-83.03,Macomb County,35157
48312,MI,54568,Sterling Heights,42.58,-83.03,Macomb County,28581
48313,MI,63554,Sterling Heights,42.58,-83.03,Macomb County,29518
48314,MI,66611,Sterling Heights,42.58,-83.03,Macomb County,17293
48315,MI,91911,Utica,42.62,-83.02,Macomb County,23605
48316,MI,84361,Utica,42.62,-83.02,Macomb County,22654
48317,MI,57867,Utica,42.62,-83.02,Macomb County,21920
48320,MI,91883,Keego Harbor,42.6,-83.34,Oakland County,3669
48322,MI,121139,West Bloomfield,42.56,-83.38,Oakland County,26295
48323,MI,171319,West Bloomfield,42.56,-83.38,Oakland County,16433
48324,MI,141944,West Bloomfield,42.56,-83.38,Oakland County,15497
48326,MI,80022,Auburn Hills,42.67,-83.24,Oakland County,16592
48327,MI,55565,Waterford,42.66,-83.38,Oakland County,18206
48328,MI,56634,Waterford,42.66,-83.38,Oakland County,19362
48329,MI,67571,Waterford,42.66,-83.38,Oakland County,22191
48331,MI,142200,Farmington,42.46,-83.37,Oakland County,20379
48334,MI,94595,Farmington,42.46,-83.37,Oakland County,15493
48335,MI,84386,Farmington,42.46,-83.37,Oakland County,19642
48336,MI,63309,Farmington,42.46,-83.37,Oakland County,21693
48340,MI,30757,Pontiac,42.64,-83.28,Oakland County,16520
48341,MI,38867,Pontiac,42.64,-83.28,Oakland County,10293
48342,MI,26510,Pontiac,42.64,-83.28,Oakland County,11022
48346,MI,75972,Clarkston,42.73,-83.42,Oakland County,19308
48348,MI,120169,Clarkston,42.73,-83.42,Oakland County,20501
48350,MI,81436,Davisburg,42.75,-83.54,Oakland County,6321
48353,MI,80792,Hartland,42.65,-83.75,Livingston County,5519
48356,MI,78791,Highland,42.63,-83.61,Oakland County,7394
48357,MI,93944,Highland,42.63,-83.61,Oakland County,7382
48359,MI,85305,Lake Orion,42.78,-83.24,Oakland County,6478
48360,MI,99144,Lake Orion,42.78,-83.24,Oakland County,9878
48362,MI,92944,Lake Orion,42.78,-83.24,Oakland County,12952
48363,MI,169877,Oakland,42.77,-83.16,Oakland County,4269
48367,MI,94987,Leonard,42.86,-83.14,Oakland County,3847
48370,MI,115330,Oxford,42.82,-83.25,Oakland County,1519
48371,MI,81874,Oxford,42.82,-83.25,Oakland County,19746
48374,MI,155639,Novi,42.47,-83.49,Oakland County,12379
48375,MI,99333,Novi,42.47,-83.49,Oakland County,18652
48377,MI,88144,Novi,42.47,-83.49,Oakland County,12404
48380,MI,131699,Milford,42.58,-83.6,Oakland County,6353
48381,MI,94086,Milford,42.58,-83.6,Oakland County,11502
48382,MI,109756,Commerce Township,42.59,-83.5,Oakland County,19589
48383,MI,75933,White Lake,42.65,-83.5,Oakland County,10713
48386,MI,75518,White Lake,42.65,-83.5,Oakland County,14995
48390,MI,80988,Walled Lake,42.53,-83.47,Oakland County,19775
48393,MI,63036,Wixom,42.52,-83.53,Oakland County,14033
48401,MI,44317,Applegate,43.35,-82.63,Sanilac County,1213
48412,MI,56724,Attica,43.03,-83.16,Lapeer County,5052
48413,MI,47871,Bad Axe,43.8,-82.99,Huron County,6417
48414,MI,54048,Bancroft,42.87,-84.06,Shiawassee County,2073
48415,MI,52222,Birch Run,43.25,-83.79,Saginaw County,8441
48416,MI,48666,Brown City,43.21,-82.98,Sanilac County,4178
48417,MI,47418,Burt,43.23,-83.9,Saginaw County,2470
48418,MI,59183,Byron,42.82,-83.94,Shiawassee County,3638
48419,MI,47455,Carsonville,43.42,-82.67,Sanilac County,2162
48420,MI,50187,Clio,43.17,-83.73,Genesee County,18775
48421,MI,54933,Columbiaville,43.15,-83.4,Lapeer County,5737
48422,MI,46946,Croswell,43.27,-82.61,Sanilac County,5278
48423,MI,56821,Davison,43.03,-83.51,Genesee County,27501
48426,MI,42750,Decker,43.45,-83.04,Sanilac County,799
48427,MI,40520,Deckerville,43.52,-82.74,Sanilac County,2319
48428,MI,88165,Dryden,42.94,-83.12,Lapeer County,4339
48429,MI,51864,Durand,42.91,-83.98,Shiawassee County,7476
48430,MI,85983,Fenton,42.8,-83.71,Genesee County,31424
48432,MI,45580,Filion,43.9,-82.96,Huron County,584
48433,MI,62229,Flushing,43.06,-83.84,Genesee County,23338
48435,MI,43453,Fostoria,43.25,-83.37,Tuscola County,1818
48436,MI,62920,Gaines,42.87,-83.91,Genesee County,3455
48438,MI,83828,Goodrich,42.91,-83.5,Genesee County,6166
48439,MI,76266,Grand Blanc,42.92,-83.61,Genesee County,41062
48441,MI,48205,Harbor Beach,43.84,-82.65,Huron County,3590
48442,MI,64895,Holly,42.79,-83.62,Oakland County,17107
48444,MI,51486,Imlay City,43.01,-83.07,Lapeer County,7774
48445,MI,45916,Kinde,43.93,-82.99,Huron County,1181
48446,MI,54648,Lapeer,43.04,-83.32,Lapeer County,24889
48449,MI,47882,Lennon,42.98,-83.93,Shiawassee County,2678
48450,MI,67439,Lexington,43.26,-82.53,Sanilac County,3914
48451,MI,80844,Linden,42.81,-83.78,Genesee County,12872
48453,MI,47649,Marlette,43.32,-83.08,Sanilac County,4196
48454,MI,49182,Melvin,43.18,-82.86,Sanilac County,1137
48455,MI,88461,Metamora,42.94,-83.29,Lapeer County,7097
48456,MI,44234,Minden City,43.67,-82.77,Sanilac County,791
48457,MI,45753,Montrose,43.17,-83.89,Genesee County,6924
48458,MI,33277,Mount Morris,43.11,-83.69,Genesee County,15858
48460,MI,61921,New Lothrop,43.11,-83.96,Shiawassee County,2069
48461,MI,53083,North Branch,43.22,-83.19,Lapeer County,6935
48462,MI,82078,Ortonville,42.85,-83.44,Oakland County,11724
48463,MI,52714,Otisville,43.16,-83.52,Genesee County,4055
48464,MI,49014,Otter Lake,43.21,-83.46,Lapeer County,1821
48465,MI,47262,Palms,43.62,-82.73,Sanilac County,525
48466,MI,45002,Peck,43.25,-82.81,Sanilac County,1330
48467,MI,59978,Port Austin,44.04,-82.99,Huron County,2010
48468,MI,42695,Port Hope,43.93,-82.71,Huron County,1216
48469,MI,61322,Port Sanilac,43.43,-82.54,Sanilac County,1113
48470,MI,41247,Ruth,43.74,-82.75,Huron County,726
48471,MI,45006,Sandusky,43.42,-82.83,Sanilac County,4712
48472,MI,45318,Snover,43.5,-82.97,Sanilac County,1514
48473,MI,57518,Swartz Creek,42.96,-83.82,Genesee County,19851
48475,MI,53318,Ubly,43.71,-82.93,Huron County,2465
48502,MI,210447,Flint,43.02,-83.69,Genesee County,565
48503,MI,34898,Flint,43.02,-83.69,Genesee County,15930
48504,MI,27702,Flint,43.02,-83.69,Genesee County,20474
48505,MI,22816,Flint,43.02,-83.69,Genesee County,15571
48506,MI,34142,Flint,43.02,-83.69,Genesee County,20992
48507,MI,38656,Flint,43.02,-83.69,Genesee County,22763
48509,MI,48198,Burton,42.99,-83.61,Genesee County,8434
48519,MI,42726,Burton,42.99,-83.61,Genesee County,6349
48529,MI,30773,Burton,42.99,-83.61,Genesee County,7111
48532,MI,46268,Flint,43.02,-83.69,Genesee County,15352
48601,MI,29859,Saginaw,43.41,-83.94,Saginaw County,26197
48602,MI,35730,Saginaw,43.41,-83.94,Saginaw County,21079
48603,MI,63063,Saginaw,43.41,-83.94,Saginaw County,22938
48604,MI,42931,Saginaw,43.41,-83.94,Saginaw County,8209
48607,MI,27001,Saginaw,43.41,-83.94,Saginaw County,871
48609,MI,70840,Saginaw,43.41,-83.94,Saginaw County,11182
48610,MI,42876,Alger,44.11,-84.11,Arenac County,2624
48611,MI,61587,Auburn,43.6,-84.07,Bay County,5784
48612,MI,50498,Beaverton,43.88,-84.48,Gladwin County,7567
48613,MI,45028,Bentley,43.94,-84.13,Bay County,966
48614,MI,42474,Brant,43.25,-84.29,Saginaw County,1120
48615,MI,47091,Breckenridge,43.4,-84.47,Gratiot County,2514
48616,MI,52202,Chesaning,43.18,-84.11,Saginaw County,6441
48617,MI,51771,Clare,43.82,-84.76,Clare County,6946
48618,MI,48135,Coleman,43.75,-84.58,Midland County,4372
48619,MI,42200,Comins,44.8,-84.05,Oscoda County,0
48621,MI,42221,Fairview,44.71,-84.05,Oscoda County,1043
48622,MI,48672,Farwell,43.83,-84.86,Clare County,5088
48623,MI,78652,Freeland,43.52,-84.11,Saginaw County,11109
48624,MI,48881,Gladwin,43.98,-84.49,Gladwin County,12391
48625,MI,39860,Harrison,44.01,-84.8,Clare County,9643
48626,MI,66432,Hemlock,43.41,-84.23,Saginaw County,5473
48628,MI,67057,Hope,43.79,-84.32,Midland County,1529
48629,MI,45469,Houghton Lake,44.31,-84.76,Roscommon County,6010
48631,MI,58833,Kawkawlin,43.65,-83.94,Bay County,4166
48632,MI,44758,Lake,43.85,-85,Clare County,3800
48634,MI,60613,Linwood,43.73,-83.97,Bay County,3899
48635,MI,46065,Lupton,44.43,-84.01,Ogemaw County,1265
48636,MI,39621,Luzerne,44.61,-84.26,Oscoda County,702
48637,MI,52105,Merrill,43.4,-84.33,Saginaw County,3037
48638,MI,55912,Saginaw,43.41,-84.02,Saginaw County,10702
48640,MI,78010,Midland,43.62,-84.22,Midland County,26835
48642,MI,88441,Midland,43.62,-84.22,Midland County,27196
48647,MI,41330,Mio,44.66,-84.14,Oscoda County,3345
48649,MI,47788,Oakley,43.14,-84.16,Saginaw County,1505
48650,MI,50171,Pinconning,43.85,-83.96,Bay County,6350
48651,MI,44011,Prudenville,44.3,-84.66,Roscommon County,3657
48652,MI,49640,Rhodes,43.9,-84.18,Gladwin County,1437
48653,MI,51863,Roscommon,44.49,-84.58,Roscommon County,7846
48654,MI,41502,Rose City,44.42,-84.11,Ogemaw County,2012
48655,MI,53931,Saint Charles,43.29,-84.14,Saginaw County,5465
48656,MI,38778,Saint Helen,44.36,-84.41,Roscommon County,3072
48657,MI,66336,Sanford,43.67,-84.38,Midland County,6958
48658,MI,47481,Standish,43.98,-83.96,Arenac County,4221
48659,MI,43105,Sterling,44.03,-84.02,Arenac County,2307
48661,MI,48342,West Branch,44.27,-84.23,Ogemaw County,8860
48662,MI,57592,Wheeler,43.41,-84.43,Gratiot County,1293
48701,MI,46248,Akron,43.56,-83.51,Tuscola County,1130
48703,MI,52953,Au Gres,44.04,-83.69,Arenac County,2759
48705,MI,41239,Barton City,44.68,-83.6,Alcona County,420
48706,MI,54694,Bay City,43.59,-83.88,Bay County,34564
48708,MI,43853,Bay City,43.59,-83.88,Bay County,21270
48720,MI,56332,Bay Port,43.84,-83.37,Huron County,970
48721,MI,49370,Black River,44.81,-83.31,Alcona County,0
48722,MI,46094,Bridgeport,43.37,-83.88,Saginaw County,3016
48723,MI,48272,Caro,43.48,-83.4,Tuscola County,9750
48725,MI,55086,Caseville,43.94,-83.27,Huron County,2057
48726,MI,47170,Cass City,43.6,-83.17,Tuscola County,5034
48727,MI,44670,Clifford,43.31,-83.17,Lapeer County,1009
