zip,cbsa
77018,26420
77420,20900
77420,26420
77420,13060
77708,13140
77836,17780
77836,99999
77632,13140
77632,99999
77488,20900
77469,26420
78370,18580
78163,41700
78209,41700
78040,29700
78025,28500
76524,47380
78015,41700
79226,99999
79226,11100
79088,99999
79401,31180
79346,99999
78840,99999
78840,19620
78748,12420
79928,21340
80446,99999
80461,99999
80482,99999
80513,14500
80513,24540
80513,22660
80453,19740
80459,99999
80831,17820
80831,19740
80902,17820
80737,99999
80112,19740
80124,19740
80923,17820
80949,17820
81073,99999
85252,38060
85013,38060
81652,24060
81149,99999
81226,99999
81226,15860
85128,38060
85731,46060
85617,43420
88350,10460
87701,29780
84532,99999
84056,36260
89005,29820
90038,31080
90058,31080
90294,31080
91354,31080
91344,31080
93035,37100
90605,31080
90803,31080
93238,12540
93921,41500
93776,23420
92003,41740
93675,23420
93675,47300
93438,42200
93453,42020
95377,44700
95377,41860
93552,31080
92058,41740
92555,40140
92268,40140
92509,40140
92543,40140
92223,40140
92805,31080
94060,41860
94060,42100
94087,41940
92660,31080
91766,40140
91766,31080
91767,31080
92880,40140
94002,41860
92612,31080
95503,21700
95589,46380
95589,21700
94535,46700
94537,41860
94306,41940
94401,41860
96007,39780
96007,39820
96013,39820
95067,42100
95832,40900
96786,46520
94804,41860
95207,44700
95210,44700
94586,41860
95249,99999
95254,99999
83655,36620
83655,14260
97062,38900
83605,14260
83641,14260
59847,33540
59806,33540
59855,99999
59456,99999
83839,99999
83355,99999
83324,99999
59919,28060
97144,38900
97133,38900
97520,32780
98009,42660
97471,40700
97302,41420
97211,38900
97759,13460
97759,99999
98042,42660
98546,43220
98126,42660
98203,42660
98103,42660
98117,42660
98247,13380
98274,34580
98253,36020
99672,99999
99709,21820
99645,11260
99173,44060
99130,39420
98930,28420
98930,49420
99008,44060
99008,99999
99349,34180
99343,28420
01346,44140
01375,44140
04424,99999
06419,25540
07727,35620
12022,10580
13054,46540
13433,99999
13656,48060
14485,40380
14818,99999
14861,21300
16345,47620
16695,99999
17212,99999
17929,39060
18074,37980
21041,12580
22183,47900
22972,99999
22972,47900
22922,31340
22922,16820
23025,47260
23690,47260
24347,13980
