zipcode,state,total_pop,avg_income
35769,AL,4170,75929.26
35771,AL,1380,45723.19
35772,AL,1800,44491.67
35773,AL,5690,56104.92
35775,AL,340,40070.59
35776,AL,1440,44725.0
35801,AL,10480,125956.87
35802,AL,11470,95874.28
35803,AL,13730,80748.14
35805,AL,7820,27888.75
35806,AL,12190,75394.18
35808,AL,430,96425.58
35810,AL,13430,35191.14
35811,AL,12780,64529.19
35816,AL,5630,31082.95
35824,AL,4600,84773.04
35901,AL,7320,62905.74
35903,AL,7160,41154.89
35904,AL,5250,40706.67
35905,AL,2690,51935.69
35906,AL,4440,54992.34
35907,AL,4010,67589.78
35950,AL,8600,41965.7
35951,AL,5010,42411.38
35952,AL,2710,44331.37
35953,AL,3040,53004.28
35954,AL,4580,40116.59
35956,AL,3510,45795.73
35957,AL,6260,43392.81
35958,AL,1160,48425.86
35959,AL,1820,47848.9
35960,AL,3770,51657.56
35961,AL,2210,37876.47
35962,AL,2620,42425.95
35963,AL,620,38209.68
35966,AL,1310,45051.15
35967,AL,6300,47861.75
35968,AL,2230,53396.41
35971,AL,1780,45290.45
35972,AL,500,48142.0
35973,AL,1000,43228.0
35974,AL,710,40543.66
35975,AL,350,48685.71
35976,AL,7080,68105.93
35978,AL,2020,53294.55
35979,AL,530,40628.3
35980,AL,1820,41085.16
35981,AL,740,45447.3
35983,AL,1430,47061.54
35984,AL,780,53032.05
35986,AL,3250,48731.69
35987,AL,980,47898.98
35988,AL,690,41675.36
35989,AL,1290,51465.89
36003,AL,760,48559.21
36005,AL,670,45455.22
36006,AL,540,50242.59
36009,AL,1030,50282.52
36010,AL,2000,38831.0
36013,AL,190,104147.37
36016,AL,1230,39331.71
36017,AL,490,33648.98
36020,AL,530,43866.04
36022,AL,5950,64415.8
36024,AL,2660,61200.75
36025,AL,1650,48884.85
36026,AL,450,74888.89
36027,AL,5860,46694.54
36028,AL,690,42401.45
36029,AL,400,57930.0
36030,AL,200,38135.0
36032,AL,1020,35820.59
36033,AL,1490,40963.76
36034,AL,310,43170.97
36035,AL,810,45450.62
36036,AL,770,43709.09
36037,AL,5350,45619.81
36039,AL,110,29627.27
36040,AL,1440,32189.58
36041,AL,560,43230.36
36042,AL,550,46080.0
36043,AL,1590,58062.89
36046,AL,540,48262.96
36047,AL,560,39408.93
36048,AL,500,35132.0
36049,AL,2230,46547.98
36051,AL,920,47745.65
36052,AL,380,87884.21
36053,AL,750,34332.0
36054,AL,6600,53073.48
36064,AL,5240,104270.99
36066,AL,9100,62180.55
36067,AL,11060,56656.96
36069,AL,760,49744.74
36071,AL,330,35487.88
36075,AL,790,44102.53
36078,AL,5510,52054.63
36079,AL,3710,51513.48
36080,AL,1040,66947.12
36081,AL,5690,54129.0
36083,AL,3220,34386.96
36088,AL,970,29850.52
36089,AL,2940,33326.19
36091,AL,1450,48073.1
36092,AL,8790,51513.2
36093,AL,5200,78537.69
36104,AL,2570,42956.42
36105,AL,4180,34455.02
